song,year,artist,genre,lyrics
always,2006,blink-182,Rock,"I've been here before a few times
And I'm quite aware we're dying
And your hands they shake with goodbyes
And I'll take you back if you'd have me
So here I am I'm trying
So here I am are you ready
Come on let me hold you touch you feel you
Always
Kiss you taste you all night
Always
And I'll miss your laugh your smile
I'll admit I'm wrong if you'd tell me
I'm so sick of fights I hate them
Lets start this again for real
So here I am I'm trying
So here I am are you ready
So here I am I'm trying
So here I am are you ready
Come on let me hold you touch you feel you
Always
Kiss you taste you all night
Always
Touch you feel you
Always
Kiss you taste you all night
Always
I've been here before a few times
And I'm quite aware we're dying
Come on let me hold you touch you feel you
Always
Kiss you taste you all night
Always
Touch you feel you
Always
Kiss you taste you all night
Always"
and-i,2006,boxcar-racer,Rock,"I am, lost in the crowd
I'm standing in line, I'm feeling so down
And I am, full of doubt
She's not the one, take notice, hear me out
I want her, and need her and you
Always will pull me through
I'm tired, this game's so dumb
She never played, her race is won
I'm tired, can't smile no more
I'll sure cave in, just like before
And I, want her, and need her and you
Always will pull me through
And I, want her, and need her and you
Always will pull me through"
anomaly,2014,angels-and-airwaves,Rock,"Hey you
What's with those eyes
What ya been thinkin'
Hey girl
Spreadin' your wings
The world's awaitin' to let you in
That smile
A mile away
The colors collide
Hey you
Pick up the reigns
And come through my window and don't be shy
I never wanted to say
How much I liked you
I never wanted to be
One of your sad discoveries
We'll see
Hey there
Since you been gone
I've written about you
These words
They're no hemingway
They don't have any value to any line
My girl
You scared to go home
A view of the city
Hey you
I can never relax
And its never an option if you're not mine
I never wanted to live
My life without you
I never wanted to coast
Always wanted to be an anomaly
I never wanted to say
How much I loved you
I never wanted to be
One of your, sad discoveries
Tell me
Don't let me down
I sense this is my end
I wont let you leave here
Without these violins
One day
I follow your eyes
To the top of a mountain
My girl
I think I'm in love
It's the scariest place to be alive"
anthem,2006,blink-182,Rock,"Home show, mom won't know
Run out the back door
He's passed out on the floor
Third time, been caught twice
Forgive our neighbor Bob
I think he humped the dog
But good things come to those who wait
'Cause she laid me
And mom and dad posses the key
Instant slavery
No need to explain the plan
No need to even bother
I'll pack my bags I swear I'll run
Wish my friends were 21
White lies, bloodshot eyes
Breath of alcohol, stole it from the mall
How's Chris marked with lipstick
Better call their fathers, sleeping with your daughters
But good things come to those who wait
'Cause she laid me
And mom and dad posses the key
Instant slavery
No need to explain the plan
No need to even bother
I'll pack my bags I swear I'll run
Wish my friends were 21
You don't belong
You left the kids to carry on
You planned their fall
To bad you're wrong
Don't need a mom dad slave drive song
I time bomb
I time bomb
I time bomb
I time bomb
I time bomb
Turn low the radio
I think I hear my dad
Yelling at the band
But good things come to those who wait
'Cause she laid me
And mom and dad posses the key
Instant slavery
No need to explain the plan
No need to even bother
I'll pack my bags I swear I'll run
Wish my friends were 21
You don't belong
You left the kids to carry on
You planned their fall
To bad you're wrong
Don't need a mom dad slave drive song
I time bomb
I time bomb
I time bomb
I time bomb
I time bomb
I time bomb
I time bomb
I time bomb
I time bomb"
anthem-part-2,2006,blink-182,Rock,"Everything has fallen to pieces
Earth is dying help me Jesus
We need guidance
We've been misled
Young and hostile
But not stupid
Corporate leaders, politicians
Kids can't vote, adults elect them
Mobs that rule the school and workplace
Signs that caution, sixteen's unsafe
We really need to see this through
We never wanted to be abused
We'll never give up, it's no use
If we're f***ed up
You're to blame
Let this train wreck burn more slowly
Kids are victims in this story
Drown our youth with useless warnings
Teenage rules they're f***ed and boring
We really need to see this through
We never wanted to be abused
We'll never give up, it's no use
If we're f***ed up
You're to blame
Everything has fallen to pieces
Everything has fallen to pieces
Everything has fallen to pieces
Everything has fallen to pieces
Everything has fallen to
We really need to see this through
We never wanted to be abused
We'll never give up, it's no use
If we're f***ed up
You're to blame"
anti-pop-song,2007,blink-182,Rock,"I'm sick of always hearing all those sad songs on the radio
All day it is there to remind an oversensitive guy
That he's lost and alone yea
I hate our favorite resturant our favorite movie our favorite show
We would stay up all through the night
We would laugh and get high and never answer the phone
I can't forgive can't forget can't give in what went wrong cas you said This was right
You fucked up my life
I'm sick of always hearing sappy love songs on the radio
This place its fucking cursed and its plagued and I could never escape When my heart it explodes
I can't forgive can't forget can't give in what went wrong cas you said This was right
You fucked up my life
I'm kicking out feircley at the world around me
what went wrong
I'm kicking out feircley at the world around me
what went wrong
I'm kicking out feircley at the world around me
what went wrong
I'm kicking out feircley at the world around me what
went wrong
I'm kicking"
anxiety,2011,angels-and-airwaves,Rock,"Anxiety, don't pressure us
Faster, I dream in speeds of ashes
My heart it beats and crashes
I'm running from the truth
Cause it fucks with my mind
Waiting, we're silly, we're so reckless
The city it's so heartless
A bottle full of crude
That washed up in the tide
Don't pressure us, anxiety
I'm a passenger
So serious, anxiety
Just a passenger
Handsome and calloused, young believers
Hiding, plotting schemers
And rotting out like fruit
That was left here to die
Talking, waited after hours
Time is bending outward
I'm falling to my knees
To fall whole safe inside
Don't pressure us, anxiety
I'm a passenger
So dangerous, anxiety
Just a passenger"
apple-shampoo,2006,blink-182,Rock,"She didn't mean to deceive you, believe me
But sometimes the hardest part is conceiving
The good intentions that you had
Now only came to this
And although she saw the mark
The arrow missed
It isn't exciting reciting the stories
Of kind words turned hurting when routine gets boring
Both getting tired of punk rock clubs
And both playing in punk rock bands
The start was something good
But some good things must end
And she said, ""It could never survive
With such differing lives
One home, one out on tour again
We may never come back
The strike of a match
The candle's burning at both ends.""
And now she knows too much
And I'm too fucked up
It's awkward trying to make my move
I'll pretend that I'm fine
Show up right on time
But I know I'll never be that cool
I never wanted to hold you back
I just wanted to hold on
But my chance is gone
I know just where I stand, a boy
Trapped in the body of a man and
I'll take what you're willing to give
And I'll teach myself to live
With a walk-on part of a background shot
From a movie I'm not in
She's so important
And I'm so retarded
And now I realize
I should have kissed you in L.A.
But I drove home all alone
As if I had a choice, anyway
Where are you coming from?
What are you running from?
Is it so hard to see?
And if you're feeling scared
Remember the time we shared
You know it meant everything (everything)
You know that it meant everything to me
You know that it meant everything to me"
asthenia,2006,blink-182,Rock,"Last night it came as a picture
With a good reason, a warning sign
This place is void of all passion
If you can imagine it's easy if you try
Believe me I failed this effort
I wrote a reminder this wasn't a vision
This time where are you Houston
Is somebody out there will somebody listen
Should I go back should I go back should I
I feel alone and tired
Should I go back should I go back should I
I hope I won't forget you
My head is made up of memories
Most of them useless delusions
This room is bored of rehearsal
And sick of the boundaries
I miss you so much
Should I go back should I go back should I
I feel alone and tired
Should I go back should I go back should I
This time I don't want to
Should I go back should I go back should I
I feel alone and tired
Should I go back should I go back should I
I hope I won't forget you"
behold-a-pale-horse,2011,angels-and-airwaves,Rock,"And when the time is right
It's gonna change the world
And with the darkened sky
There is nothing fertile
And there is no more love
Or fucking gates of pearls
I see the seven stars
I see the seven stands
I hear the deathly voice
I count the sins we have
I am the living one
I am the first and last
The crowds the noise the change of the guard
It's such a strange celebration
The kids they laugh there's fire it eats up the world
It's such a strange celebration
All our eyes are burned by heaven and earth
It's such a strange celebration
And they know who we are
The seven angels sing
And several billion die
With the earth shaking
Yeah they know who we are
And they will set us free"
ben-wah-balls,2006,blink-182,Rock,"(No we ain't gonna take it
Unless it's from a Doberman pincher
Ladies and gentlemen
For your listening pleasure, Blink)
Passively one day as the sun
Rose out of it's house
So did this little old guy as
He whistled out of his mouth
And happily and gay
Well I guessed exactly that
Because he found a special girl
That put him in a special trance
He fell in love so quickly
What the Hell was he to expect
That the girl under his arm
Wasn't the same
As any other girl
That he had thought
That he once met
I guess you could only blame fate
Things started getting weird
As they started to kiss
She often felt his beard and
Remembered how
Her father she missed
And then quietly one day
He sang a song that's been
Deep within his heart
Causing some ingestion
He finished with a great big fart and
She knew at that one moment
That song was something
She heard before
So she asked him to do that again
Then out the door they hurried
She was gonna find out for sure
So she analyzed his rear end
She said, ""When I was a little girl
My Dad left my mom
He used to always fart and
Sing this special song
Now I wasn't quite so sure
Until your pants did fall
'Cause now I know that
You're my dad because
You use ben wah balls""
I said a"
blow-job,2006,blink-182,Rock,"It'd be nice
To have a blow job
It would be nice
To have a blow job
It would be nice
To have a blow job
It would be nice
To have a blow job
It would be nice
To have a blow job
It would be nice
To have a blow job
It would be nice
To have a blow job
It would be nice
To have a blow job
From your mom"
bored-to-death,2016,blink-182,Rock,"There's an echo pulling out the meaning
Rescuing a nightmare from a dream
The voices in my head are always screaming
That none of this means anything to me
And it's a long way back from seventeen
The whispers turn into a scream
And I'm, I'm not coming home
Save your breath, I'm nearly
Bored to death and fading fast
Life is too short to last long
Back on earth, I'm broken
Lost and cold and fading fast
Life is too short to last long
There's a stranger staring at the ceiling
Rescuing a tiger from a tree
The pictures in her head are always dreaming
Each of them means everything to me
And it's a long way back from seventeen
The whispers turn into a scream
And I'm, I'm not coming home
Save your breath, I'm nearly
Bored to death and fading fast
Life is too short to last long
Back on earth, I'm broken
Lost and cold and fading fast
Life is too short to last long
Oh oh oh oh oh oh oh
Oh oh oh oh oh oh oh oh
(Oh oh oh oh) I think I met her at the minute that the rhythm was set down
(Oh oh oh oh) I said I'm sorry I'm a little bit of a letdown
(Oh oh oh oh) but all my friends are daring me to come over
(Oh oh oh oh) so I come over and over and over
(Oh oh oh oh) so let me buy you a drink and we'll pretend that you think
(Oh oh oh oh) that I'm the man of your dreams come to life in a dive bar
(Oh oh oh oh) and we'll go over and over and over
(Oh oh oh oh) and we'll go over and over and over
(Oh oh oh oh) and we'll go over and over and over
(Oh oh oh oh) and we'll go over and over and over
Save your breath, I'm nearly
Bored to death and fading fast
Life is too short to last long
Back on earth, I'm broken
Lost and cold and fading fast
Life is too short to last long
(Oh oh oh oh oh, oh oh)
(Oh oh oh oh oh oh oh life is too short to last long)
(Oh oh oh oh oh oh oh oh)"
boring,2006,blink-182,Rock,"You don't need nothin'
And I know that you won't even try
Don't wait for me to help you
Too late for any of my advice
No trust
All I got is lies
Boring
Alright
Misplaced your values
Forgot the importance of being right
Don't sit there and act humble
I've heard your story a thousand times
No trust
All I got is lies
Boring
Alright"
boxing-day,2012,blink-182,Rock,"Let's get started, the faint and broken-hearted
Hold it up, I've got something I cannot hide
Worst painkiller, that all-in filler
The apart and departed look in my eyes
Sad, how far you ran, I'll search this land
Up through the clouds then back here
We could reignite like fireflies, like an atom bomb
At all hours
I'm empty like the day after Christmas
Swept beneath the wave of your goodbye
You left me on the day after Christmas
There's nothing left to say, and so goodnight
I will follow the trail to tomorrow
With my loneliness with sorrow all through the night
Sons and daughters, mothers and their fathers
Just the bridges and the waters their clues left behind
Sad, how far you ran, I'll search this land
Up through the clouds then back here
We could reignite like fireflies, like an atom bomb
At all hours
I'm empty like the day after Christmas
Swept beneath the wave of your goodbye
You left me on the day after Christmas
There's nothing left to say, and so goodnight
I'm empty like the day after Christmas
Swept beneath the wave of your goodbye
You left me on the day after Christmas
There's nothing left to say, and so goodnight
There's nothing left to say, and so goodnight
Goodnight"
breathe,2007,angels-and-airwaves,Rock,"A blue, black shade of love.
Sent from above.
My hands are tied to worlds alone,
And this I know.
Your breath's like wine,
And just like clouds, my skin crawls.
It's so divine, the sky it glows with fields of light.
Did you know that I love you?
Come and lay with me.
I love you.
And honestly, I will love you.
You make me feel alive,
And I'll love you
Until the end of time.
My hands shake clasped with fear as you come near
To say goodnight, just like a dove.
A peaceful sign.
To help us by as you come in.
Let this begin.
Stars fall like dust, our lips will touch.
We speak too much.
Did you know that I love you?
Come and lay with me.
I love you.
And honestly, I will love you.
You make me feel alive,
And I'll love you
Until the end of time.
Did you know that I love you?
Come and lay with me.
I love you.
And honestly, I will love you.
You make me feel alive,
And I'll love you
Until the end of time.
I've got a lot to say, if you will let me
It's always hard, when you're around me
But here right now, there's interest in your eyes
So hear me out, and hear this the first time
That I love you (come and lay with me)
That I love you (and all this day)
And I love you (you make me feel alive)
That I love you
Till the end of time"
brohemian-rhapsody,2016,blink-182,Rock,"There's something about you
I can't quite put my finger in!"
built-this-pool,2016,blink-182,Rock,"UUH UUH
UUH UUH
UUH UUH
UUH UUH
I want to see some naked dudes,
that's why i built this pool."
bullets-in-the-wind,2014,angels-and-airwaves,Rock,"Warn the army waiting for me
Set the dial to the radio free
Dying tell it to the bat on the run
Pick em up with the sound of your guns
Call em into wide eyes
Watch em dance when you're kicked to the side
Chatter up in a forbidding tone
I've got you now with the heart of the young
Ritual, the words creep out
Like a ghost, the heart sinks down
Animal, the teeth reach out
Holding on, we're coming up strong again
We dance like bullets in the wind
Over and over again, over and over again
Bringing life back from the dead
Keeping the captain alive
Over and over it goes, over and over it goes
So turn up the transistor radio
Drama trouble, get me some more
Cut em deep, going down to the core
Great scar, the kids in the rain
Come together with the sound of the train
Shut em up with a four letter word
Bite your thumb, the car's gonna swerve
Sound of clatter, the crash they did light
Hurry up, this kid's gonna fight
Ritual, the words creep out
Like a ghost, the heart sinks down
Animal, the teeth reach out
Holding on, we're coming up strong again
We dance like bullets in the wind
Over and over again, over and over again
Bringing life back from the dead
Keeping the captain alive
Over and over it goes, over and over it goes
So turn up your transistor radio
Pick up the beat then cry at the caskets
Calm the masses and turn up the song
Shake off your feet and exit the blackness
Rise up from the ashes, you get to belong
Ritual, the words creep out
Like a ghost, the heart sinks down
Animal, the teeth reach out
Holding on, we're coming up strong again
We dance like bullets in the wind
Over and over again, over and over again
Bringing life back from the dead
Keeping the captain alive
Over and over it goes, over and over it goes
So turn up the transistor radio"
cacophony,2006,blink-182,Rock,"When you talk about tomorrow
I'm not sure about today
When you tell me
That you love me
What am I supposed to say?
Sometimes I don't feel
The same way as you feel
Words like forever
They scare the shit out of me
Maybe I'm afraid
Of commitment
Maybe you're too
Distracted to see that
Sometimes I don't feel
The same way as you feel
I think of all the things
I'd say to you
If I had the chance again
I think of all the things
I'd scream
But I think it's for the best
That you and I just
Don't connect and
Things are never quite
What they seem
Will there ever be
Someone to give
Her heart to me
Or would I be
To blind to see it
I wouldn't make a sound
I'd keep it underground
It always seems like
I'm running around around
Running around around
Round
Sometimes I don't feel
The same way as you feel"
california,2016,blink-182,Rock,"Beige little boxes in a row
Neighbors and friends that you don't know
Here's a form, go wait in line
Can't you see I'm doing fine, it's what I've always wanted
Two little kids out on the lawn
Once we had love, now it's gone
Good things haven't happened yet
I'm empty as a movie set, it's what I've always wanted
Hey, here's to you California
Beautiful haze of suburbia
Living in the perfect weather
Spending time inside together
Hey, here's to you California
Wearing all black out on the beach
Faces I've seen in magazines
Let's take a walk out on the pier
Watch the shoreline disappear, iIt's what I've always wanted
Hey, here's to you California
Beautiful haze of suburbia
Living in the perfect weather
Spending time inside together
Hey, here's to you California
Na, na na, na na, na na, na na (woah-ohh)
Na, na na, na na, na na, na na (woah-ohh)
Na, na na, na na, na na, na na (woah-ohh)
Na, na na, na na, na na, na na (woah-ohh)
Hey, here's to you California
Beautiful haze of suburbia
Living in the perfect weather
Spending time inside together
Hey, here's to you California"
call-to-arms,2007,angels-and-airwaves,Rock,"There's a little black, dark scar, tired divide.
This is it, can you hear me?
Have you ever felt a sad heart buried alive?
You can do almost anything.
There's a little red bridge with the view of the sun with a lake,
I recommend such a setting site
And the thousands of stars come out thousands of times
And we can go, only if you believe.
Only if you believe.
Do you feel like you've lost everything you can lose?
This is it, can you hear me?
When you cry do your fears ever Chill up the room?
Calling out in a moment of need.
Do you ever lay awake with a look in the eye?
Asking god if a wish is too big to deny?
I will offer a line. And it is ready for use.
Let me know are you ready for me?
I'd like to say, that you're my only fear.
And when I dream, it slowly disappears.
And when I wake. I'm right here by your side
To feel your heart, beat in and out of time.
When the storm brings rain, snow, fate of all kinds,
You can feel almost anything.
When the day seems to melt, fall flat into night,
You can feel almost anything.
When you can't go on, you got to get up and try.
This is it, can you feel me?
And when the bombs come down. We will make it alive.
But only if you want to believe.
I'd like to say, that you're my only fear.
And when I dream, it slowly disappears.
And when I wake. I'm right here by your side
To feel your heart, beat in and out of time.
(Out of time)"
carousel,2000,blink-182,Rock,"I talk to you every now and then
I never felt so alone again
I stop to think at a wishing well
My thoughts send me on a carousel
Here I am standing on my own
Not a motion from the telephone
I know not a reason why
Solitude's a reason to die
Just you wait and see (just you wait and see)
As school life is a
It is a woken dream
Aren't you feeling alone?
I guess its just another
I guess its just another
(I had sex with your mother) night alone
Now as I walk down the street
I need a job just to sleep in sheets
Buying food every once in a while
But not enough to purchase a smile
A tank of gas is a treasure to me
I know now that nothing is free
I talk to you every now and then
I never felt so alone again
Just you wait and see (just you wait and see)
As school life is a
It is a woken dream
Aren't you feeling alone?
I guess its just another
I guess its just another
Night alone
Thanks a lot you guys!
Hey kids, it's Satan. Thanks a lot for coming on down to
The show tonight. Hope you all had a great time. I know I did
Those Blink fellas sure put on a kick ass show, huh. Hope to see
You all at the after show party. I'm gonna start sucking dicks
And squeezin' titties, maybe I can put my peepee in your mouth
I love it when the kids come on over and I get, I have them suck
And kiss my peepee tenderly and gently. I like it when the kids sit
On my lap, and talk about unicorns and flowers and things like that
Maybe I'll even suck their blood. See ya kids later!
Hey, how you guys doin' up in the back? Now from the top balcony
Can I get an Amen? Now from the floor, can I get a Hallelujah? Now from
All these other assholes, can I get an oh yeah?"
cat-like-thief,2006,boxcar-racer,Rock,"(Go)
I fell down again
But I can't complain
Another false step
Could drive me insane
I only got myself here to blame
So I shake off defeat and I start again
Oh no I said
I wanna go back
But I can't win the shit
And I'm gonna stay on track
Yeah, make a deal like that
I keep my head up
But I never react
I wrote it down a list a month ago
Sixteen chapters of one thing you've blown
The best thing yet
To help you through and through
That she was
I feel her more than you
Don't leave
Don't leave her
I get up just to get knocked back down
I sit up just to get knocked around
I wanna say something
But your out of town
I don't wanna have another show down
I say stand up (hey, yo)
Lets make it clear follow you home (no)
You were not there you saw him comin (jump)
You disappear
Oh no everything seems so clear
You think you see me here all along
Got my crew comin now
One by one
Two by two
Three by three
Four by four
Lets do some more
Call me back when word is that she's gone
Cat like thief she stole air from my lungs
Leave me standing on this lonely grave
I dug it out in case she turns away
Don't leave(Don't leave her)
Don't leave her(Don't leave her)
Don't leave(Don't leave her)
Don't leave her(Don't leave her)
You think you seen it,
All along got my crew comin
One by one
Two by two
Three by three
Four by four
Lets do some more
Don't leave(Don't leave her)
Don't leave her(Don't leave her)
Don't leave
Don't leave her
Don't leave
Don't leave her
Don't leave"
chasing-shadows,2016,angels-and-airwaves,Rock,"Eighteen and a wicker basket
Red cape and a open casket
Tied up to a broken lever
If I move it hurts forever
I am not that (host)?
But I want her
Wolf in a winter playground
White snow to let the red out
I hear that alarms are better
Than a warning like a feather
I don't like my tone
But I want her
So here I am
I'm falling to my knees
I'm digging out the shadows of a ghost
When you come around
So here I am
I'm waiting for the tease
I'm sleeping in the (gallows)? that I chose
When you come around
Why sleep I can't forget it
Moonrise I'm now committed
Your move cause I am (tethered)?
Like a slave I don't know better
I listen for your words
Yeah I want her
Lost boys in a haunted forest
Bright things in the maze before us
My life has now been severed
I can't bare to remember who I was before
The day I met her
So here I am
I'm falling to my knees
I'm digging out the shadows of a ghost
When you come around
So here I am
I'm waiting for the tease
I'm sleeping in the gallows that I chose
When you come around
So here I am
I'm falling to my knees
I'm digging out the shadows of a ghost
When you come around
So here I am
I'm waiting for the tease
I'm sleeping in the gallows that I chose
When you come around
So here I am
I'm falling to my knees
I'm digging out the shadows of a ghost
When you come around
So here I am
I'm waiting for the tease
I'm sleeping in the gallows that I chose
When you come around"
